"SegNum","WellNum","time_days","pump_factor","Qs","frac_depletion","depletion_m3d"
298,9,3543,1.5,0,0.025,0
298,9,18143,1.5,0.0116983,0.018,0.0002106
336,9,3543,0.5,0,0.072,0
336,9,18143,0.5,0.0013615,0.104,0.0001416
336,9,3543,1,0,0.072,0
336,9,18143,1,0.0027231,0.104,0.0002832
336,9,3543,1.5,0,0.072,0
336,9,18143,1.5,0.0040846,0.104,0.0004248
38,9,18143,0.5,0.0109923,0.02,0.0002198
38,9,18143,1,0.0219845,0.02,0.0004397
38,9,18143,1.5,0.0329768,0.02,0.0006595
52,9,18143,0.5,0.038036,0.013,0.0004945
52,9,18143,1,0.076072,0.013,0.0009889
52,9,18143,1.5,0.114108,0.013,0.0014834
53,9,18143,0.5,0.0107754,0.011,0.0001185
53,9,18143,1,0.0215507,0.011,0.0002371
53,9,18143,1.5,0.0323261,0.011,0.0003556
54,9,18143,0.5,0.0023876,0.023,5.49e-05
54,9,18143,1,0.0047753,0.023,0.0001098
54,9,18143,1.5,0.0071629,0.023,0.0001647
62,9,18143,0.5,0.0326169,0.019,0.0006197
62,9,18143,1,0.0652338,0.019,0.0012394
62,9,18143,1.5,0.0978506,0.019,0.0018592
68,9,18143,0.5,0.0763419,0.011,0.0008398
68,9,18143,1,0.1526838,0.011,0.0016795
68,9,18143,1.5,0.2290257,0.011,0.0025193
70,9,18143,0.5,0.0522542,0.027,0.0014109
70,9,18143,1,0.1045084,0.027,0.0028217
70,9,18143,1.5,0.1567626,0.027,0.0042326
71,9,18143,0.5,0.0125864,0.012,0.000151
71,9,18143,1,0.0251728,0.012,0.0003021
71,9,18143,1.5,0.0377591,0.012,0.0004531
116,9,18143,0.5,0.0303387,0.019,0.0005764
116,9,18143,1,0.0606773,0.019,0.0011529
116,9,18143,1.5,0.091016,0.019,0.0017293
211,9,18143,0.5,0.0585116,0.02,0.0011702
211,9,18143,1,0.1170233,0.02,0.0023405
211,9,18143,1.5,0.1755349,0.02,0.0035107
213,9,18143,0.5,0.0276113,0.014,0.0003866
213,9,18143,1,0.0552225,0.014,0.0007731
213,9,18143,1.5,0.0828338,0.014,0.0011597
299,9,18143,0.5,0.0002766,0.025,6.9e-06
299,9,18143,1,0.0005532,0.025,1.38e-05
299,9,18143,1.5,0.0008298,0.025,2.07e-05
305,9,18143,0.5,4e-07,0.012,0
305,9,18143,1,7e-07,0.012,0
305,9,18143,1.5,1.1e-06,0.012,0
63,10,258,0.5,0,0.047,0
63,10,3543,0.5,0.0052824,0.038,0.0002007
63,10,18143,0.5,0.1155361,0.032,0.0036972
63,10,258,1,0,0.047,0
63,10,3543,1,0.0105648,0.038,0.0004015
63,10,18143,1,0.2310722,0.032,0.0073943
63,10,258,1.5,0,0.047,0
63,10,3543,1.5,0.0158471,0.038,0.0006022
63,10,18143,1.5,0.3466084,0.032,0.0110915
64,10,258,0.5,2e-07,0.333,1e-07
64,10,3543,0.5,0.0870593,0.265,0.0230707
64,10,18143,0.5,0.2458467,0.225,0.0553155
64,10,258,1,4e-07,0.333,1e-07
64,10,3543,1,0.1741187,0.265,0.0461414
64,10,18143,1,0.4916934,0.225,0.110631
