stream_BC,pump,analytical,apportionment,method,Time,MSE.sum,KGE.sum
RIV,Intermittent,glover,Adjacent+Dynamic,Qf.Web,2453,0.0252029671481029,-0.0258518615153198
RIV,Intermittent,glover,Adjacent+Dynamic,Qf.Web,2463,0.0257603768572372,-0.00707389807163961
RIV,Intermittent,glover,Adjacent+Dynamic,Qf.Web,2473.3,0.0262480852964819,0.00726270845512444
RIV,Intermittent,glover,Adjacent+Dynamic,Qf.Web,2483.7,0.0267742248761501,0.0186207018981407
RIV,Intermittent,glover,Adjacent+Dynamic,Qf.Web,2494,0.0272367593941134,0.0304435116430398
RIV,Intermittent,glover,Adjacent+Dynamic,Qf.Web,2504,0.0211520511426923,0.0131884117544733
RIV,Intermittent,glover,Adjacent+Dynamic,Qf.Web,2514,0.0200119222433619,0.0665713687781483
RIV,Intermittent,glover,Adjacent+Dynamic,Qf.Web,2524,0.0194434969365284,0.070212113515989
RIV,Intermittent,glover,Adjacent+Dynamic,Qf.Web,2534.3,0.0200683772525265,0.0642185310382557
RIV,Intermittent,glover,Adjacent+Dynamic,Qf.Web,2544.7,0.0197016996028721,0.0521247602321219
RIV,Intermittent,glover,Adjacent+Dynamic,Qf.Web,2555,0.0194929641399993,0.0498105289317984
RIV,Intermittent,glover,Adjacent+Dynamic,Qf.Web,2565.3,0.0195548188620327,0.0530731594227245
RIV,Intermittent,glover,Adjacent+Dynamic,Qf.Web,2575.7,0.0192524882090628,0.0395890103129379
RIV,Intermittent,glover,Adjacent+Dynamic,Qf.Web,2586,0.0191236662861931,0.0461275299763715
RIV,Intermittent,glover,Adjacent+Dynamic,Qf.Web,2595.3,0.0191246918056366,0.042757619625962
RIV,Intermittent,glover,Adjacent+Dynamic,Qf.Web,2604.7,0.0190031954302599,0.0395175592488041
RIV,Intermittent,glover,Adjacent+Dynamic,Qf.Web,2614,0.0190942700670779,0.0375486545282271
RIV,Intermittent,glover,Adjacent+Dynamic,Qf.Web,2624.3,0.0188940779125677,0.0402601482515149
RIV,Intermittent,glover,Adjacent+Dynamic,Qf.Web,2634.7,0.0188019612538717,0.0426785920340571
RIV,Intermittent,glover,Adjacent+Dynamic,Qf.Web,2645,0.0186208129830006,0.0448218260182828
RIV,Intermittent,glover,Adjacent+Dynamic,Qf.Web,2655,0.018546061694368,0.0456163063397007
RIV,Intermittent,glover,Adjacent+Dynamic,Qf.Web,2665,0.0183996669052379,0.0445307685897903
RIV,Intermittent,glover,Adjacent+Dynamic,Qf.Web,2675,0.0185155258136316,0.0369029507373815
RIV,Intermittent,glover,Adjacent+Dynamic,Qf.Web,2685.3,0.0178511772669549,0.0414435068360339
RIV,Intermittent,glover,Adjacent+Dynamic,Qf.Web,2695.7,0.0178462199494399,0.0357143730533561
RIV,Intermittent,glover,Adjacent+Dynamic,Qf.Web,2706,0.0177219317264355,0.0368814268201988
RIV,Intermittent,glover,Adjacent+Dynamic,Qf.Web,2716,0.0211966559143119,-0.187916540284581
RIV,Intermittent,glover,Adjacent+Dynamic,Qf.Web,2726,0.0223066286586212,-0.328372747380948
RIV,Intermittent,glover,Adjacent+Dynamic,Qf.Web,2736,0.0232025818858518,-0.344032152835246
RIV,Intermittent,glover,Adjacent+Dynamic,Qf.Web,2746.3,0.0238440659668135,-0.312586164278169
RIV,Intermittent,glover,Adjacent+Dynamic,Qf.Web,2756.7,0.0244343145145423,-0.269291238645716
RIV,Intermittent,glover,Adjacent+Dynamic,Qf.Web,2767,0.0248837687284276,-0.167046636209344
RIV,Intermittent,glover,Adjacent+Dynamic,Qf.Web,2777.3,0.0253125868038421,-0.142759429845255
RIV,Intermittent,glover,Adjacent+Dynamic,Qf.Web,2787.7,0.0257488751238911,-0.113196711762785
