stream_BC,pump,analytical,apportionment,method,Time,MSE.overall,KGE.overall
SFR,Intermittent,hunt,Dynamic,Qf.Web,3142.3,0.00175444887711963,0.0276363221504582
SFR,Intermittent,hunt,Dynamic,Qf.Web,3152.7,0.00180043849716416,0.0270186964057374
SFR,Intermittent,hunt,Dynamic,Qf.Web,3163,0.0019921862433338,0.0121890684943521
SFR,Intermittent,hunt,Dynamic,Qf.Web,3173,0.00217893799031595,0.0127111228745086
SFR,Intermittent,hunt,Dynamic,Qf.Web,3183,0.0021563693390753,0.0323110408470688
SFR,Intermittent,hunt,Dynamic,Qf.Web,3193,0.00223343417417175,0.0302606181930323
SFR,Intermittent,hunt,Dynamic,Qf.Web,3203.3,0.00231840560275093,0.0444741656261541
SFR,Intermittent,hunt,Dynamic,Qf.Web,3213.7,0.00243506396429674,0.0233072252607137
SFR,Intermittent,hunt,Dynamic,Qf.Web,3224,0.00239189471850973,0.0319488615563694
SFR,Intermittent,hunt,Dynamic,Qf.Web,3234,0.00204400699378292,0.0270429809838423
SFR,Intermittent,hunt,Dynamic,Qf.Web,3244,0.0018369230400302,0.025959127464616
SFR,Intermittent,hunt,Dynamic,Qf.Web,3254,0.0017961207605233,0.0384274051821351
SFR,Intermittent,hunt,Dynamic,Qf.Web,3264.3,0.00155139808199598,0.0262642043481762
SFR,Intermittent,hunt,Dynamic,Qf.Web,3274.7,0.00146121238466325,0.0340955347570154
SFR,Intermittent,hunt,Dynamic,Qf.Web,3285,0.00144406383419935,0.0276038160430913
SFR,Intermittent,hunt,Dynamic,Qf.Web,3295.3,0.00126929362418928,0.0254632713844856
SFR,Intermittent,hunt,Dynamic,Qf.Web,3305.7,0.00121585830277735,0.0232525791963009
SFR,Intermittent,hunt,Dynamic,Qf.Web,3316,0.00110827642336502,0.0161831646641101
SFR,Intermittent,hunt,Dynamic,Qf.Web,3325.3,0.00116482317670827,0.0204668019421895
SFR,Intermittent,hunt,Dynamic,Qf.Web,3334.7,0.0010430975978196,0.015655194935117
SFR,Intermittent,hunt,Dynamic,Qf.Web,3344,0.00102063904742553,0.0220424204192027
SFR,Intermittent,hunt,Dynamic,Qf.Web,3354.3,0.000994403814482439,0.0226283476095168
SFR,Intermittent,hunt,Dynamic,Qf.Web,3364.7,0.000963273734425955,0.0120477372229814
SFR,Intermittent,hunt,Dynamic,Qf.Web,3375,0.000912393505979178,0.0212846215383865
SFR,Intermittent,hunt,Dynamic,Qf.Web,3385,0.000849786263158364,0.022518348046675
SFR,Intermittent,hunt,Dynamic,Qf.Web,3395,0.000798210967001202,0.0236682096334264
SFR,Intermittent,hunt,Dynamic,Qf.Web,3405,0.000821268559742694,0.0178756619556426
SFR,Intermittent,hunt,Dynamic,Qf.Web,3415.3,0.000831727129654613,0.0145125723187649
SFR,Intermittent,hunt,Dynamic,Qf.Web,3425.7,0.000788995861358074,0.0151642735982094
SFR,Intermittent,hunt,Dynamic,Qf.Web,3436,0.000727168242920084,0.0202898631986356
SFR,Intermittent,hunt,Dynamic,Qf.Web,3446,0.00088068397411928,0.0169268057949921
SFR,Intermittent,hunt,Dynamic,Qf.Web,3456,0.00100047685735176,0.0246026727788292
SFR,Intermittent,hunt,Dynamic,Qf.Web,3466,0.00107500259645585,0.0239269316402184
SFR,Intermittent,hunt,Dynamic,Qf.Web,3476.3,0.00128891798996304,0.0014430204048812
SFR,Intermittent,hunt,Dynamic,Qf.Web,3486.7,0.00139809522276598,0.00797307848336315
SFR,Intermittent,hunt,Dynamic,Qf.Web,3497,0.00155273272407033,0.0190572153447338
SFR,Intermittent,hunt,Dynamic,Qf.Web,3507.3,0.00167728810708731,0.0234724114505854
SFR,Intermittent,hunt,Dynamic,Qf.Web,3517.7,0.00176278983663934,-0.00553015603269835
SFR,Intermittent,hunt,Dynamic,Qf.Web,3528,0.00173500361056379,0.0308660970347917
SFR,Intermittent,hunt,Dynamic,Qf.Web,3538,0.00196986459907613,0.024590502532736
SFR,Intermittent,hunt,Dynamic,Qf.Web,3548,0.00202107969581398,0.0238753887049912
SFR,Intermittent,hunt,Dynamic,Qf.Web,3558,0.0020119460671512,0.0276659452981719
SFR,Intermittent,hunt,Dynamic,Qf.Web,3568.3,0.00217970990241874,0.0131659270745309
