"row" "col" "lay" "lon" "lat" "WellNum" "ztop_m"
80 108 0 457634.12422272 4330604.71038478 224 227.603591918945
84 108 0 457634.12422272 4329604.71038478 225 113.726501464844
88 108 0 457634.12422272 4328604.71038478 226 66.5756912231445
92 108 0 457634.12422272 4327604.71038478 227 97.663215637207
100 108 0 457634.12422272 4325604.71038478 228 157.520874023438
104 108 0 457634.12422272 4324604.71038478 229 142.975509643555
108 108 0 457634.12422272 4323604.71038478 230 186.087173461914
112 108 0 457634.12422272 4322604.71038478 231 149.338623046875
116 108 0 457634.12422272 4321604.71038478 232 289.744110107422
124 108 0 457634.12422272 4319604.71038478 233 350.451934814453
128 108 0 457634.12422272 4318604.71038478 234 383.822448730469
132 108 0 457634.12422272 4317604.71038478 235 302.938110351562
136 108 0 457634.12422272 4316604.71038478 236 534.277648925781
36 112 0 458634.12422272 4341604.71038478 237 269.156982421875
40 112 0 458634.12422272 4340604.71038478 238 349.683563232422
48 112 0 458634.12422272 4338604.71038478 239 231.671325683594
52 112 0 458634.12422272 4337604.71038478 240 242.749465942383
56 112 0 458634.12422272 4336604.71038478 241 303.918060302734
60 112 0 458634.12422272 4335604.71038478 242 258.09521484375
64 112 0 458634.12422272 4334604.71038478 243 175.827774047852
68 112 0 458634.12422272 4333604.71038478 244 236.181533813477
72 112 0 458634.12422272 4332604.71038478 245 250.275588989258
76 112 0 458634.12422272 4331604.71038478 246 153.478866577148
80 112 0 458634.12422272 4330604.71038478 247 266.570556640625
84 112 0 458634.12422272 4329604.71038478 248 183.562713623047
88 112 0 458634.12422272 4328604.71038478 249 157.904937744141
92 112 0 458634.12422272 4327604.71038478 250 85.2585525512695
96 112 0 458634.12422272 4326604.71038478 251 61.1304168701172
100 112 0 458634.12422272 4325604.71038478 252 62.168758392334
104 112 0 458634.12422272 4324604.71038478 253 206.254043579102
108 112 0 458634.12422272 4323604.71038478 254 285.61669921875
112 112 0 458634.12422272 4322604.71038478 255 274.594146728516
120 112 0 458634.12422272 4320604.71038478 256 311.802459716797
